name,dim,truth,detected,tp,fp,fn,precision,recall,f1
r0_aResetByB,R,2,2,2,0,0,1.0000,1.0000,1.0000
r1_simpleReset,R,1,1,1,0,0,1.0000,1.0000,1.0000
r2_mutexAB,R,1,1,1,0,0,1.0000,1.0000,1.0000
r3_startReset,R,1,1,1,0,0,1.0000,1.0000,1.0000
r4_spuriousReset,R,0,0,0,0,0,1.0000,1.0000,1.0000
q0_shortQueue,Q,1,1,1,0,0,1.0000,1.0000,1.0000
q1_longQueue,Q,1,1,1,0,0,1.0000,1.0000,1.0000
q2_variableQueue,Q,1,1,1,0,0,1.0000,1.0000,1.0000
q3_queueRejection10pct,Q,1,1,1,0,0,1.0000,1.0000,1.0000
q4_deepBottleneck,Q,1,1,1,0,0,1.0000,1.0000,1.0000
d0_linearDrift,D,1,1,1,0,0,1.0000,1.0000,1.0000
d1_cyclicDrift,D,1,1,1,0,0,1.0000,1.0000,1.0000
d2_strongCyclic,D,1,1,1,0,0,1.0000,1.0000,1.0000
p0_pollingOnly,P,0,0,0,0,0,1.0000,1.0000,1.0000
p1_pollingPlusCausation,P,1,1,1,0,0,1.0000,1.0000,1.0000
p2_heartbeatNoise,P,1,1,1,0,0,1.0000,1.0000,1.0000
v0_uniformRange,V,1,1,1,0,0,1.0000,1.0000,1.0000
v1_bimodal50_50,V,1,1,1,0,0,1.0000,1.0000,1.0000
v2_warmupDrift,V,1,1,1,0,0,1.0000,1.0000,1.0000
g0_star4,G,4,4,4,0,0,1.0000,1.0000,1.0000
g1_treeDepth3,G,5,5,5,0,0,1.0000,1.0000,1.0000
g2_bipartite3x2,G,6,6,6,0,0,1.0000,1.0000,1.0000
g3_diamond,G,4,4,4,0,0,1.0000,1.0000,1.0000
z0_realPlusNoise2,Z,1,1,1,0,0,1.0000,1.0000,1.0000
z1_noise5,Z,1,1,1,0,0,1.0000,1.0000,1.0000
z2_allSpurious,Z,0,0,0,0,0,1.0000,1.0000,1.0000
z3_outlier2of60,Z,1,1,1,0,0,1.0000,1.0000,1.0000
z4_doubleFire10pct,Z,1,1,1,0,0,1.0000,1.0000,1.0000
k0_chainPlusGroup,K,3,3,3,0,0,1.0000,1.0000,1.0000
k1_diamondCross,K,5,5,5,0,0,1.0000,1.0000,1.0000
k2_driftPlusNoise,K,1,1,1,0,0,1.0000,1.0000,1.0000
k3_chainPlusReset,K,3,3,3,0,0,1.0000,1.0000,1.0000
s0_tightLag80ms,S,1,1,1,0,0,1.0000,1.0000,1.0000
s1_longLag1800ms,S,1,1,1,0,0,1.0000,1.0000,1.0000
s2_largeJitter80ms,S,1,1,1,0,0,1.0000,1.0000,1.0000
s3_kmeans3modal,S,1,1,1,0,0,1.0000,1.0000,1.0000
o0_twoChainsParallel,O,2,2,2,0,0,1.0000,1.0000,1.0000
o1_independentChains,O,2,2,1,1,1,0.5000,0.5000,0.5000
o2_nestedChain,O,3,3,3,0,0,1.0000,1.0000,1.0000
t0_regimeChange,T,1,1,1,0,0,1.0000,1.0000,1.0000
t1_gradualShift,T,1,1,1,0,0,1.0000,1.0000,1.0000
t2_variableCycle,T,1,1,1,0,0,1.0000,1.0000,1.0000
